customer_id,product_id,week_t,week_t_plus_1,proba_compra_t1,pred_binaria,rank_semana
123150,44302,2024-01-01,2024-01-08,0.8954522,1,1.0
123150,44660,2024-01-01,2024-01-08,0.8954522,1,1.0
123150,48980,2024-01-01,2024-01-08,0.8954522,1,1.0
123150,60,2024-01-01,2024-01-08,0.8954522,1,1.0
123150,60978,2024-01-01,2024-01-08,0.8954522,1,1.0
123150,53256,2024-01-08,2024-01-15,0.9269805,1,1.0
123150,35732,2024-01-08,2024-01-15,0.8954522,1,2.0
123150,35846,2024-01-08,2024-01-15,0.8954522,1,2.0
123150,44644,2024-01-08,2024-01-15,0.8954522,1,2.0
123150,44664,2024-01-08,2024-01-15,0.8954522,1,2.0
123150,36720,2024-01-15,2024-01-22,0.8954522,1,1.0
123150,42132,2024-01-15,2024-01-22,0.8954522,1,1.0
123150,44660,2024-01-15,2024-01-22,0.8954522,1,1.0
123150,60,2024-01-15,2024-01-22,0.8954522,1,1.0
123150,60978,2024-01-15,2024-01-22,0.8954522,1,1.0
123150,60,2024-01-22,2024-01-29,0.9269805,1,1.0
123150,44302,2024-01-22,2024-01-29,0.8954522,1,2.0
123150,44662,2024-01-22,2024-01-29,0.8954522,1,2.0
123150,49888,2024-01-22,2024-01-29,0.8954522,1,2.0
123150,53256,2024-01-22,2024-01-29,0.8954522,1,2.0
123150,36720,2024-01-29,2024-02-05,0.8954522,1,1.0
123150,42132,2024-01-29,2024-02-05,0.8954522,1,1.0
123150,44660,2024-01-29,2024-02-05,0.8954522,1,1.0
123150,60,2024-01-29,2024-02-05,0.8954522,1,1.0
123150,60978,2024-01-29,2024-02-05,0.8954522,1,1.0
123150,42132,2024-02-05,2024-02-12,0.8954522,1,1.0
123150,44660,2024-02-05,2024-02-12,0.8954522,1,1.0
123150,48980,2024-02-05,2024-02-12,0.8954522,1,1.0
123150,60,2024-02-05,2024-02-12,0.8954522,1,1.0
123150,60978,2024-02-05,2024-02-12,0.8954522,1,1.0
128334,44660,2024-01-01,2024-01-08,0.9269805,1,1.0
128334,36720,2024-01-01,2024-01-08,0.8954522,1,2.0
128334,1206,2024-01-01,2024-01-08,0.83507806,1,3.0
128334,44644,2024-01-01,2024-01-08,0.83507806,1,3.0
128334,10790,2024-01-01,2024-01-08,0.7392767,0,4.0
128334,63220,2024-01-08,2024-01-15,0.9269805,1,1.0
128334,36762,2024-01-08,2024-01-15,0.8954522,1,2.0
128334,1370,2024-01-08,2024-01-15,0.83507806,1,3.0
128334,16358,2024-01-08,2024-01-15,0.83507806,1,3.0
128334,10790,2024-01-08,2024-01-15,0.7392767,0,4.0
128334,44660,2024-01-15,2024-01-22,0.9269805,1,1.0
128334,36720,2024-01-15,2024-01-22,0.8954522,1,2.0
128334,124,2024-01-15,2024-01-22,0.83507806,1,3.0
128334,44644,2024-01-15,2024-01-22,0.83507806,1,3.0
128334,10808,2024-01-15,2024-01-22,0.7392767,0,4.0
128334,36722,2024-01-22,2024-01-29,0.8954522,1,1.0
128334,44660,2024-01-22,2024-01-29,0.8954522,1,1.0
128334,1304,2024-01-22,2024-01-29,0.83507806,1,2.0
128334,1372,2024-01-22,2024-01-29,0.83507806,1,2.0
128334,10652,2024-01-22,2024-01-29,0.7392767,0,3.0
128334,44660,2024-01-29,2024-02-05,0.9269805,1,1.0
128334,36720,2024-01-29,2024-02-05,0.8954522,1,2.0
128334,124,2024-01-29,2024-02-05,0.83507806,1,3.0
128334,44644,2024-01-29,2024-02-05,0.83507806,1,3.0
128334,10808,2024-01-29,2024-02-05,0.7392767,0,4.0
128334,44660,2024-02-05,2024-02-12,0.9269805,1,1.0
128334,36720,2024-02-05,2024-02-12,0.8954522,1,2.0
128334,1206,2024-02-05,2024-02-12,0.83507806,1,3.0
128334,44644,2024-02-05,2024-02-12,0.83507806,1,3.0
128334,63220,2024-02-05,2024-02-12,0.78673536,0,4.0
128469,16358,2024-01-01,2024-01-08,0.71283597,0,1.0
128469,34092,2024-01-01,2024-01-08,0.71283597,0,1.0
128469,55632,2024-01-01,2024-01-08,0.71283597,0,1.0
128469,55638,2024-01-01,2024-01-08,0.71283597,0,1.0
128469,55798,2024-01-01,2024-01-08,0.71283597,0,1.0
128469,32496,2024-01-08,2024-01-15,0.71283597,0,1.0
128469,55638,2024-01-08,2024-01-15,0.71283597,0,1.0
128469,55798,2024-01-08,2024-01-15,0.71283597,0,1.0
128469,56484,2024-01-08,2024-01-15,0.71283597,0,1.0
