customer_id,product_id
188604,62376
206760,16358
231102,1370
204228,1370
72558,56714
204657,61542
61353,62376
182565,34092
222906,1304
206418,1304
222852,1370
210627,61540
153423,1370
207387,62376
156057,63188
60882,1304
236655,61540
172008,34092
172035,59822
222669,33886
183573,56714
249930,11262
244644,1370
68568,34092
201030,62376
229536,61364
246099,11262
157311,11262
212592,11262
66843,1304
250749,61540
216648,61540
242442,56714
128502,61542
207144,59822
153072,61540
61692,1370
203151,62376
186174,35732
251202,61540
203175,56714
61344,62376
194388,11262
238068,56714
239556,61540
212220,35846
243981,1304
185067,62376
244041,1304
226848,61542
65598,34092
207114,61542
203232,11262
192771,61540
199242,61364
193965,62376
207150,11262
191247,59822
230028,61542
178458,56714
207993,56714
