cliente_id,producto_id
178257,33534
212112,49888
128763,62276
184509,62618
228315,36722
208518,59816
251253,11262
203670,57804
210441,39186
188604,62376
155271,10652
222204,52620
206670,35846
61482,63418
219231,53406
234297,48980
166362,44302
61305,16358
154779,53406
189009,36722
161526,61028
222540,53394
197034,50718
166437,50962
173613,61552
205812,50720
206760,16358
212181,33886
239247,50720
187839,37644
198210,124
192618,53048
208575,57522
96138,11490
231102,1370
208797,50268
197799,56696
198522,49888
201741,62618
60870,63136
228024,10790
77484,50268
164631,63538
211641,62170
241203,52918
210795,37644
203889,53406
241824,61280
203727,1372
154869,49888
203118,62276
172695,62378
188847,3382
210846,59396
211542,53258
165915,62860
210825,62378
224631,59816
190113,11490
161058,44914
161283,61558
65052,44662
172587,63538
211761,53160
219231,59394
204228,1370
210627,63418
183645,50270
177921,1206
205659,49888
66915,36722
153438,1206
59703,53048
72558,56714
220218,39186
207996,50268
175878,56696
181662,44662
208482,48574
238608,61672
203790,63220
188106,44664
206358,57804
184950,57414
224631,62944
203181,36762
62337,63218
206838,57522
165744,50270
153675,3382
154779,33886
207390,10652
231057,61672
210843,44644
123150,61558
232656,50718
165762,49888
234972,61672
205815,50272
203574,50268
183672,50970
216366,54096
198279,124
198522,61280
250974,54864
206421,48574
153303,36720
176643,50272
208617,50270
216564,11490
167676,35846
96138,48980
183459,10808
167082,57522
234156,62170
181149,48694
234021,59396
165183,50720
208479,52918
236766,62400
154779,44644
249411,61672
165312,62400
128685,39186
154956,52918
205332,34092
222516,57804
239577,50968
228741,57414
207339,50272
251235,33886
252375,44662
188844,51316
208449,44302
175809,44662
179838,62618
208506,36720
191226,50718
220218,44644
96444,11490
243981,62618
232404,33534
247239,10652
128700,54864
234972,62400
232065,62274
251391,50962
167316,44662
208575,50272
204657,61542
61353,62376
171939,53406
220170,46632
203112,54864
129135,53394
212232,61558
231900,39186
246033,61364
217293,54096
154434,48980
232266,63218
153204,63136
183450,62074
208740,48694
154869,37644
240924,61558
207105,36762
246099,56696
182565,34092
249513,44914
182565,50270
154011,55798
