customer_id,product_id
123150,1304
123150,1370
123150,61542
123150,59822
123150,62376
128334,11262
128334,1370
128334,1372
128334,30500
128334,50718
128334,61364
128334,62376
128334,63188
128334,34092
128334,56714
128334,62170
128334,61540
128334,56484
128469,11262
128469,1304
128469,1370
128469,61542
128469,59822
128469,62376
128469,61540
128502,10652
128502,11262
128502,1304
128502,1370
128502,33886
128502,44302
128502,49888
128502,61542
128502,1372
128502,30500
128502,50718
128502,59822
128502,61364
128502,62376
128502,63188
128502,34092
128502,48574
128502,50716
128502,56714
128502,57414
128502,62074
128502,63510
128502,50274
128502,60978
128502,62944
128502,61672
128502,62170
128502,63218
128502,62378
128502,62860
128502,63538
128502,63220
128502,61540
128502,56484
128502,48694
128526,10652
128526,11262
128526,1370
128526,44302
128526,49888
128526,1372
128526,30500
128526,50718
128526,61364
128526,62376
128526,63188
128526,124
128526,34092
128526,48574
128526,50716
128526,56714
128526,57414
128526,63510
128526,60978
128526,62944
128526,16358
128526,61672
128526,62170
128526,62378
128526,62860
128526,61540
128526,56484
128526,48694
128538,10652
128538,11262
128538,1304
128538,1370
128538,44302
128538,49888
128538,61542
128538,1372
128538,59822
128538,61364
128538,62376
128538,63188
128538,34092
128538,48574
128538,50716
128538,56714
128538,57414
128538,63510
128538,60978
128538,62944
128538,61672
128538,62170
128538,62378
128538,62860
128538,61540
128538,48694
128604,11262
128604,1304
128604,1370
128604,61542
128604,1372
128604,59822
128604,61364
128604,62376
128604,63188
128604,34092
128604,56714
128604,62170
128604,61540
128685,1370
128685,62376
128763,1370
128763,62376
128901,11262
128901,1304
128901,1370
128901,61542
128901,30500
128901,50718
128901,59822
128901,62376
128901,34092
128901,48574
128901,56714
128901,57414
128901,62378
128901,61540
128901,56484
128901,48694
129081,10652
129081,11262
129081,1304
129081,1370
129081,61542
129081,59822
129081,62376
129081,124
129081,34092
129081,48574
129081,56714
129081,57414
129081,16358
129081,61672
129081,62378
129081,61540
129081,48694
129135,11262
129135,1370
129135,1372
129135,61364
129135,62376
129135,63188
129135,34092
129135,48574
129135,56714
129135,57414
129135,62074
129135,62170
129135,62378
129135,61540
129135,48694
129153,11262
129153,1304
129153,1370
129153,61542
129153,59822
129153,62376
129153,34092
129153,48574
129153,56714
129153,57414
129153,62378
129153,61540
129153,48694
129264,11262
129264,1370
129264,62376
129264,61540
139272,11262
139272,1304
139272,61542
139272,30500
139272,50718
139272,59822
139272,34092
139272,56714
139272,61540
139272,56484
140277,1370
140277,62376
148782,11262
148782,1304
148782,61542
148782,59822
148782,61540
149634,11262
149634,1304
149634,1370
149634,61542
149634,59822
149634,62376
149634,34092
149634,48574
149634,56714
149634,57414
149634,62378
149634,61540
149634,48694
153024,1304
153024,61542
153024,59822
153048,11262
153048,1304
153048,1370
153048,61542
153048,1372
153048,59822
153048,61364
153048,62376
153048,63188
153048,34092
153048,48574
153048,56714
153048,57414
153048,62170
153048,62378
153048,61540
153048,48694
153072,1370
153072,62376
153084,11262
153084,1304
153084,1370
153084,61542
153084,59822
153084,62376
153084,61540
153138,11262
153138,1304
153138,1370
153138,61542
153138,30500
153138,50718
153138,59822
153138,62376
153138,34092
153138,56714
153138,61540
153138,56484
153141,11262
153141,1304
153141,1370
153141,61542
153141,59822
153141,62376
153141,61540
153150,1370
153150,62376
153204,11262
153204,1304
153204,1370
153204,61542
153204,59822
153204,62376
153204,61540
153279,11262
153279,1304
153279,1370
153279,61542
153279,59822
153279,62376
153279,61540
153288,1370
153288,62376
153288,34092
153288,56714
153303,10652
153303,11262
153303,1304
153303,1370
153303,44302
153303,49888
153303,61542
153303,1372
153303,30500
153303,50718
153303,59822
153303,61364
153303,62376
153303,63188
153303,34092
153303,48574
153303,50716
153303,56714
153303,57414
153303,63510
153303,35846
153303,60978
153303,62944
153303,61672
153303,62170
153303,62378
153303,62860
153303,61552
153303,61540
153303,56484
153303,48694
153309,1304
153309,1370
153309,61542
153309,59822
153309,62376
153312,11262
153312,1304
153312,1370
153312,61542
153312,59822
153312,62376
153312,34092
153312,48574
153312,56714
153312,57414
153312,62378
153312,61540
153312,48694
153315,11262
153315,1370
153315,62376
153315,61540
153381,1304
153381,1370
153381,61542
153381,1372
153381,59822
153381,61364
153381,62376
153381,63188
153381,34092
153381,56714
153381,62170
153402,11262
153402,1370
153402,62376
153402,61540
153423,1370
153423,62376
153438,1304
153438,1370
153438,61542
153438,1372
153438,59822
153438,61364
153438,62376
153438,63188
153438,62170
153600,1370
153600,62376
153642,1370
153642,62376
153645,1370
153645,62376
153756,11262
153756,1370
153756,1372
153756,30500
153756,50718
153756,54096
153756,61364
153756,62376
153756,63188
153756,34092
153756,56714
153756,35846
153756,42132
153756,62170
153756,63186
153756,59816
153756,61552
153756,61540
153756,56484
153765,1370
153765,62376
